Feature,Importance
cat__Exterior2nd_Brk Cmn,0.0
cat__Exterior1st_WdShing,0.0
cat__Exterior2nd_AsphShn,0.0
cat__RoofStyle_Mansard,0.0
cat__RoofStyle_Shed,0.0
cat__Exterior1st_Stone,0.0
cat__RoofMatl_ClyTile,0.0
cat__RoofMatl_WdShake,0.0
cat__HouseStyle_2.5Fin,0.0
cat__HouseStyle_SFoyer,0.0
cat__RoofStyle_Gambrel,0.0
cat__Exterior1st_BrkComm,0.0
cat__Exterior1st_AsphShn,0.0
cat__Exterior1st_CBlock,0.0
cat__Exterior1st_ImStucc,0.0
cat__SaleCondition_AdjLand,0.0
cat__RoofMatl_Membran,0.0
cat__MiscFeature_TenC,0.0
num__LowQualFinSF,0.0
cat__BsmtQual_Fa,0.0
cat__Foundation_Stone,0.0
cat__BsmtQual_None,0.0
cat__ExterCond_Po,0.0
cat__BldgType_Twnhs,0.0
cat__Condition2_RRAe,0.0
cat__Condition2_RRAn,0.0
cat__ExterCond_Ex,0.0
cat__Neighborhood_Blueste,0.0
cat__HeatingQC_Po,0.0
cat__Heating_OthW,0.0
cat__Heating_Wall,0.0
cat__Heating_Grav,0.0
cat__Heating_Floor,0.0
cat__Heating_GasA,0.0
cat__Heating_GasW,0.0
cat__BsmtFinType2_LwQ,0.0
cat__BsmtFinType2_None,0.0
cat__BsmtFinType2_Rec,0.0
cat__BsmtCond_None,0.0
cat__Neighborhood_SawyerW,0.0
cat__Neighborhood_Veenker,0.0
cat__BsmtCond_Po,0.0
cat__BsmtFinType1_None,0.0
cat__BsmtExposure_Mn,0.0
cat__BsmtExposure_None,0.0
cat__Condition2_PosN,0.0
cat__Condition2_PosA,0.0
cat__Condition2_Norm,0.0
cat__Condition2_Feedr,0.0
cat__Condition2_Artery,0.0
cat__Condition1_RRNn,0.0
cat__Condition1_RRNe,0.0
cat__Condition2_RRNn,0.0
cat__BldgType_2fmCon,0.0
cat__Electrical_Mix,0.0
cat__Functional_Min2,0.0
cat__Functional_Maj2,0.0
cat__KitchenQual_Fa,0.0
cat__Neighborhood_MeadowV,0.0
cat__Street_Pave,0.0
cat__Street_Grvl,0.0
cat__GarageType_2Types,0.0
cat__GarageType_BuiltIn,0.0
cat__Utilities_NoSeWa,0.0
cat__Utilities_AllPub,0.0
cat__LotConfig_FR3,0.0
cat__Neighborhood_BrDale,0.0
cat__Neighborhood_NPkVill,0.0
cat__Neighborhood_Gilbert,0.0
cat__Neighborhood_IDOTRR,0.0
cat__Electrical_FuseP,0.0
cat__GarageQual_Ex,0.0
cat__GarageFinish_None,0.0
cat__GarageQual_Po,0.0
cat__Alley_None,0.0
cat__GarageCond_Po,0.0
cat__GarageCond_None,0.0
cat__GarageCond_Gd,0.0
cat__GarageCond_Ex,0.0
cat__GarageQual_None,0.0
cat__PoolQC_Fa,0.0
cat__PoolQC_Ex,0.0
cat__PavedDrive_P,0.0
cat__PoolQC_None,0.0
cat__PoolQC_Gd,0.0
cat__Fence_MnPrv,0.0
cat__Fence_MnWw,0.0
cat__MiscFeature_Gar2,0.0
cat__MiscFeature_None,0.0
cat__MiscFeature_Othr,0.0
cat__MiscFeature_Shed,0.0
